Age,,o,_,Age,,o,_
5,71160.50,1024489,1495.261,60,1651.501,16676.76,517.4812
6,66611.49,957868.3,1476.448,61,1527.421,15139.88,497.9098
7,62355.17,895505.6,1460.790,62,1411.178,13719.20,478.2719
8,58371.40,837127.4,1446.740,63,1302.324,12407.38,458.6224
9,54643.81,782478.0,1435.300,64,1200.379,11197.49,438.9504
10,51155.81,731317.8,1426.196,65,1104.942,10083.04,419.2953
11,47890.94,683423.0,1418.172,66,1015.685,9057.901,399.7482
12,44834.43,638584.9,1410.660,67,932.3167,8116.235,380.4127
13,41970.88,596609.6,1401.427,68,854.4314,7252.541,361.2586
14,39285.84,557317.4,1388.255,69,781.6486,6461.702,342.2529
15,36767.34,520541.5,1370.525,70,713.5902,5738.967,323.3405
16,34404.71,486125.9,1348.149,71,649.9342,5079.922,304.4995
17,32189.31,453924.2,1322.468,72,590.4304,4480.430,285.7611
18,30112.88,423797.9,1294.624,73,534.8594,3936.582,267.1718
19,28168.36,395615.9,1266.480,74,483.1104,3444.624,248.8760
20,26348.31,369254.3,1239.018,75,435.0560,3000.921,230.9934
21,24645.08,344596.4,1212.525,76,390.5492,2601.969,213.6153
22,23050.75,321533.1,1186.504,77,349.3909,2244.432,196.7695
23,21558.88,299962.1,1161.456,78,311.3765,1925.171,180.4649
24,20163.12,279787.4,1137.576,79,276.2776,1641.257,164.6721
25,18857.51,260919.0,1115.017,80,243.8783,1389.974,149.3600
26,17636.05,243272.5,1093.521,81,214.0191,1168.789,134.5415
27,16493.69,226769.1,1073.393,82,186.5967,975.2947,120.2767
28,15424.67,211335.0,1053.891,83,161.5478,807.1628,106.6607
29,14424.32,196901.6,1035.017,84,138.8486,662.1076,93.82527
30,13488.00,183404.6,1016.483,85,118.4297,537.8887,81.85330
31,12611.52,170784.2,998.1875,86,100.1284,432.3798,70.72660
32,11791.12,158984.4,980.1749,87,83.78864,343.6089,60.42324
33,11023.37,147952.5,962.6015,88,69.33481,269.7146,50.99422
34,10304.74,137639.4,945.2636,89,56.68272,208.9131,42.47662
35,9632.337,127998.9,928.4092,90,45.73090,159.5108,34.88416
36,9002.937,118987.9,911.7565,91,36.33829,119.9321,28.18291
37,8413.847,110566.2,895.3482,92,28.37972,88.72992,22.34608
38,7862.619,102695.8,879.3056,93,21.76738,64.55984,17.37731
39,7346.707,95341.43,863.4897,94,16.39547,46.17138,13.25582
40,6863.969,88469.98,848.0110,95,12.12911,32.43104,9.923799
41,6412.315,82050.35,832.8908,96,8.800560,22.35234,7.280601
42,5989.654,76053.50,818.0156,97,6.252956,15.10575,5.225765
43,5594.052,70452.33,803.2933,98,4.350704,10.00298,3.670502
44,5223.715,65221.54,788.6505,99,2.966599,6.482835,2.525766
45,4876.771,60337.59,773.8153,100,1.978722,4.104617,1.699608
46,4551.765,55778.58,758.8214,101,1.289369,2.533565,1.117086
47,4247.103,51524.05,743.4675,102,.8186561,1.520600,.7152553
48,3961.594,47554.91,727.8601,103,.5053179,.8846751,.4451600
49,3693.990,43853.23,711.9704,104,.3033249,.4964406,.2695669
50,3443.248,40402.21,695.8975,105,.1750074,.2669308,.1568561
51,3208.239,37186.09,679.5848,106,.09831879,.1358391,.08908173
52,2987.824,34190.19,662.8915,107,.05260502,.06350718,.04828653
53,2781.095,31400.85,645.8373,108,.02709060,.02533406,.02536789
54,2587.174,28805.25,628.4172,109,.01306720,.006117601,.01265120
Age,,o,_,Age,,o,_
x,Dx,Nx,Mx,x,Dx,Nx,Mx
0,100000.0,1393808,2433.461,55,2170.108,23374.03,533.9252
1,92583.18,1300787,1528.078,56,2012.462,21353.73,517.7003
2,86463.45,1214292,1462.989,57,1864.929,19480.87,501.2678
3,80767.78,1133505,1422.435,58,1726.782,17746.01,484.5606
4,75455.68,1058035,1393.220,59,1597.362,16140.43,467.5322
5,70497.93,987526.5,1371.082,60,1476.139,14655.93,450.2245
6,65867.93,921649.5,1352.461,61,1362.683,13284.80,432.7471
7,61543.87,860098.2,1336.992,62,1256.623,12019.72,415.2431
8,57504.25,802587.3,1323.137,63,1157.524,10853.75,397.7615
9,53731.41,748850.4,1311.878,64,1064.920,9780.392,380.2925
10,50207.63,698638.5,1302.933,65,978.4201,8793.555,362.8712
11,46915.41,651719.3,1295.066,66,897.7028,7887.498,345.5780
12,43839.08,607876.6,1287.713,67,822.4780,7056.772,328.5039
13,40962.39,566909.9,1278.694,68,752.3597,6296.257,311.6217
14,38270.19,528633.5,1265.849,69,686.9852,5601.194,294.9016
15,35749.86,492875.3,1248.593,70,625.9968,4967.175,278.2946
16,33390.09,459474.7,1226.857,71,569.0889,4390.108,261.7813
17,31181.63,428281.0,1201.955,72,516.0205,3866.169,245.3886
18,29115.67,399152.4,1175.008,73,466.5791,3391.748,229.1568
19,27184.64,371954.6,1147.820,74,420.6487,2963.396,213.2110
20,25380.62,346561.2,1121.341,75,378.0992,2577.782,197.6545
21,23695.57,322853.3,1095.844,76,338.7847,2231.707,182.5652
22,22121.24,300720.0,1070.848,77,302.5152,1922.139,167.9654
23,20650.86,280057.5,1046.832,78,269.0970,1646.229,153.8610
24,19277.79,260768.7,1023.978,79,238.3176,1401.323,140.2250
25,17995.80,242762.5,1002.429,80,209.9767,1184.972,127.0287
26,16798.70,225953.9,981.9339,81,183.9239,994.8898,114.2816
27,15681.22,210263.4,962.7792,82,160.0578,828.9151,102.0338
28,14637.44,195617.0,944.2549,83,138.3125,684.9655,90.36493
29,13662.57,181945.8,926.3605,84,118.6559,561.0055,79.38551
30,12751.81,169185.5,908.8211,85,101.0174,455.0502,69.16387
31,11900.88,157276.3,891.5395,86,85.24723,365.2222,59.68167
32,11105.91,146162.2,874.5573,87,71.20254,289.7857,50.91754
33,10363.38,135790.8,858.0201,88,58.80972,227.1087,42.91212
34,9669.663,126113.3,841.7349,89,47.98836,175.6333,35.69403
35,9021.802,117083.8,825.9335,90,38.64404,133.8868,29.27196
36,8416.534,108659.8,810.3505,91,30.64959,100.5041,23.61431
37,7851.112,100801.3,795.0248,92,23.89218,74.23574,18.69568
38,7323.038,93470.99,780.0687,93,18.29117,53.92558,14.51638
39,6829.741,86634.14,765.3515,94,13.75139,38.50261,11.05621
40,6369.045,80258.15,750.9750,95,10.15404,26.99971,8.264065
41,5938.835,74312.54,736.9577,96,7.353734,18.57796,6.053277
42,5537.015,68768.88,723.1933,97,5.215194,12.53404,4.337811
43,5161.642,63600.66,709.5959,98,3.621864,8.286101,3.041837
44,4810.923,58783.22,696.0971,99,2.465011,5.361136,2.089731
45,4483.000,54293.63,682.4466,100,1.641089,3.388717,1.403879
46,4176.415,50110.56,668.6758,101,1.067363,2.088172,.9211909
47,3889.592,46214.17,654.6008,102,.6764317,1.251188,.5888485
48,3621.335,42585.93,640.3201,103,.4167491,.7267240,.3658784
49,3370.405,39208.52,625.8083,104,.2496925,.4071352,.2211930
50,3135.755,36065.68,611.1566,105,.1437942,.2185593,.1284951
51,2916.271,33142.24,596.3141,106,.08063227,.1110496,.07285879
52,2710.839,30424.08,581.1537,107,.04306129,.05184037,.03943246
53,2518.558,27898.05,565.6945,108,.02213431,.02065112,.02068873
54,2338.564,25551.87,549.9331,109,.01065656,.004979702,.01030798
Age,,o,_,Age,,o,_
x,Dx,Nx,Mx,x,Dx,Nx,Mx
0,100000.0,1356655,2320.815,55,1958.285,20710.77,467.1093
1,92410.45,1263808,1416.247,56,1812.639,18891.07,452.4813
2,86141.12,1177636,1351.339,57,1676.620,17207.32,437.6937
3,80316.56,1097300,1310.973,58,1549.526,15650.55,422.6870
4,74894.15,1022392,1281.947,59,1430.718,14212.46,407.4203
5,69842.75,952538.3,1259.993,60,1319.675,12885.31,391.9323
6,65134.03,887395.4,1241.562,61,1215.972,11661.81,376.3215
7,60744.61,826643.4,1226.279,62,1119.239,10535.04,360.7161
8,56651.56,769985.3,1212.617,63,1029.050,9498.477,345.1597
9,52835.90,717144.0,1201.534,64,944.9579,8546.031,329.6437
10,49278.74,667861.0,1192.747,65,866.5824,7671.994,314.1988
11,45961.53,621895.8,1185.032,66,793.6081,6871.001,298.8960
12,42867.61,579024.7,1177.835,67,725.7495,6137.973,283.8155
13,39979.94,539040.5,1169.023,68,662.6390,5468.151,268.9321
14,37282.63,501751.8,1156.498,69,603.9317,4857.118,254.2192
15,34762.36,466981.4,1139.703,70,549.2899,4300.789,239.6331
16,32407.19,434564.0,1118.586,71,498.4235,3795.378,225.1563
17,30207.28,404345.0,1094.439,72,451.1016,3337.354,210.8121
18,28153.26,376179.2,1068.357,73,407.1194,2923.392,196.6351
19,26237.02,349929.5,1042.092,74,366.3574,2550.326,182.7339
20,24450.18,325467.0,1016.559,75,328.6853,2215.108,169.1975
21,22784.32,302670.8,992.0190,76,293.9593,1914.823,156.0920
22,21230.85,281428.4,968.0053,77,261.9990,1646.716,143.4354
23,19782.67,261634.6,944.9765,78,232.6218,1408.204,131.2311
24,18432.87,243191.2,923.1037,79,205.6301,1196.890,119.4540
25,17174.97,226006.3,902.5179,80,180.8383,1010.561,108.0779
26,16002.56,209994.3,882.9748,81,158.1053,847.1625,97.10961
27,14910.17,195075.3,864.7443,82,137.3328,704.7530,86.59060
28,13891.75,181175.1,847.1468,83,118.4535,581.4718,76.58752
29,12942.35,168224.5,830.1793,84,101.4296,475.5081,67.19301
30,12057.06,156159.5,813.5794,85,86.19071,385.1042,58.46321
31,11231.50,144920.1,797.2541,86,72.59949,308.6036,50.38004
32,10461.69,134450.7,781.2415,87,60.52542,244.4791,42.92292
33,9744.016,124699.1,765.6776,88,49.89769,191.3002,36.12408
34,9074.801,115617.0,750.3795,89,40.64024,147.7069,30.00535
35,8450.998,107158.8,735.5636,90,32.66569,112.4187,24.57154
36,7869.317,99282.46,720.9796,91,25.85967,84.25298,19.79346
37,7326.962,91948.59,706.6633,92,20.12070,62.13122,15.64725
38,6821.392,85120.46,692.7183,93,15.37509,45.05902,12.13084
39,6350.018,78763.84,679.0215,94,11.53751,32.11905,9.224934
40,5910.633,72846.76,665.6669,95,8.503414,22.48604,6.884419
41,5501.106,67339.38,652.6702,96,6.146830,15.44648,5.034683
42,5119.333,62213.90,639.9319,97,4.351137,10.40392,3.602054
43,4763.373,57444.46,627.3715,98,3.016153,6.866400,2.521772
44,4431.431,53007.03,614.9255,99,2.048939,4.435142,1.729609
45,4121.672,48879.29,602.3631,100,1.361543,2.798709,1.160036
46,3832.633,45040.55,589.7137,101,.8838943,1.721713,.7599309
47,3562.761,41471.56,576.8088,102,.5591150,1.029892,.4849628
48,3310.857,38154.40,563.7400,103,.3438277,.5971967,.3008295
49,3075.691,35072.31,550.4843,104,.2056178,.3340204,.1815683
50,2856.220,32209.64,537.1258,105,.1181913,.1790209,.1053018
51,2651.347,29551.78,523.6186,106,.06615186,.09081846,.05961293
52,2459.979,27085.15,509.8479,107,.03526218,.04233296,.03221421
53,2281.227,24797.16,495.8318,108,.01809161,.01684024,.01687911
54,2114.243,22676.03,481.5686,109,.008693954,.004055016,.008401992
Age,,o,_,Age,,o,_
x,Dx,Nx,Mx,x,Dx,Nx,Mx
0,100000.0,1321355,2219.702,55,1767.476,18358.93,408.9153
1,92238.36,1228681,1315.948,56,1632.975,16719.60,395.7244
2,85820.60,1142829,1251.218,57,1507.626,15205.55,382.4145
3,79868.70,1062941,1211.038,58,1390.747,13808.31,368.9326
4,74337.83,988589.6,1182.200,59,1281.721,12519.98,355.2426
5,69194.87,919384.3,1160.429,60,1180.041,11333.26,341.3799
6,64409.66,854965.8,1142.185,61,1085.286,10241.25,327.4335
7,59957.19,795001.4,1127.086,62,997.0890,9237.450,313.5177
8,55813.07,739181.8,1113.613,63,915.0362,8315.738,299.6716
9,51956.95,687219.6,1102.704,64,838.6963,7470.395,285.8871
10,48368.73,638846.7,1094.071,65,767.7019,6696.090,272.1913
11,45028.76,593814.3,1086.505,66,701.7450,5987.814,258.6468
12,41919.43,551891.5,1079.461,67,640.5463,5340.844,245.3239
13,39022.82,512864.5,1070.852,68,583.7559,4750.760,232.1996
14,36322.32,476536.3,1058.637,69,531.0466,4213.469,219.2498
15,33803.90,442724.5,1042.289,70,482.0997,3725.191,206.4356
16,31454.98,411259.6,1021.773,71,436.6408,3282.430,193.7410
17,29265.11,381983.2,998.3563,72,394.4488,2881.927,181.1862
18,27224.36,354746.7,973.1108,73,355.3273,2520.628,168.8008
19,25324.10,329410.3,947.7349,74,319.1555,2195.628,156.6790
20,23555.49,305843.0,923.1127,75,285.8038,1904.144,144.8972
21,21909.71,283921.9,899.4922,76,255.1323,1643.522,133.5117
22,20377.86,263532.9,876.4211,77,226.9700,1411.260,122.5367
23,18952.50,244569.7,854.3373,78,201.1452,1205.022,111.9736
24,17626.46,226933.2,833.4013,79,177.4747,1022.641,101.7992
25,16393.01,210530.7,813.7337,80,155.7869,862.1248,91.98963
26,15245.54,195276.2,795.0972,81,135.9494,721.6236,82.54925
27,14178.36,181089.5,777.7447,82,117.8679,599.3985,73.51244
28,13185.33,167896.1,761.0259,83,101.4751,493.7876,64.93486
29,12261.33,155627.0,744.9358,84,86.72954,403.1811,56.89414
30,11401.36,144218.0,729.2235,85,73.56196,326.0233,49.43624
31,10600.92,133609.7,713.7999,86,61.84676,260.8532,42.54362
32,9855.938,123746.5,698.6999,87,51.46496,206.3280,36.19669
33,9162.724,114576.7,684.0503,88,42.34916,161.1939,30.42081
34,8517.541,106052.2,669.6778,89,34.42795,124.2643,25.23239
35,7917.273,98128.23,655.7842,90,27.62086,94.42596,20.63334
36,7358.599,90763.05,642.1335,91,21.82523,70.65448,16.59680
37,6838.684,83917.92,628.7584,92,16.94999,52.01876,13.10060
38,6354.950,77556.70,615.7543,93,12.92810,37.66365,10.14099
39,5904.792,71645.76,603.0057,94,9.683209,26.80338,7.699759
40,5485.980,66153.80,590.5986,95,7.123463,18.73364,5.737174
41,5096.366,61051.62,578.5464,96,5.139721,12.84745,4.189010
42,4733.850,56312.09,566.7559,97,3.631463,8.638930,2.992182
43,4396.492,51910.00,555.1518,98,2.512597,5.692006,2.091388
44,4082.500,47821.96,543.6747,99,1.703684,3.670427,1.432072
45,3790.060,44026.33,532.1119,100,1.130009,2.312273,.9589006
46,3517.714,40503.01,520.4906,101,.7322194,1.420089,.6271328
47,3263.927,37233.38,508.6568,102,.4623092,.8480499,.3995536
48,3027.503,34200.11,496.6948,103,.2837676,.4909383,.2474381
49,2807.226,31387.04,484.5845,104,.1693843,.2741384,.1490980
50,2602.057,28779.11,472.4030,105,.09718260,.1466903,.08632751
51,2410.917,26362.27,460.1089,106,.05429195,.07430107,.04879367
52,2232.737,24123.50,447.5981,107,.02888638,.03458230,.02632729
53,2066.642,22050.73,434.8883,108,.01479284,.01373784,.01377624
54,1911.799,20132.71,421.9783,109,.007095488,.003303300,.006851044
Age,,o,_,Age,,o,_
x,Dx,Nx,Mx,x,Dx,Nx,Mx
0,100000.0,1287779,2128.759,55,1595.564,16281.14,358.1972
1,92066.91,1195278,1225.815,56,1471.404,14804.00,346.3000
2,85501.86,1109745,1161.264,57,1355.932,13442.30,334.3178
3,79424.16,1030301,1121.269,58,1248.489,12187.97,322.2032
4,73786.68,956500.8,1092.617,59,1148.477,11033.58,309.9246
5,68554.18,887936.2,1071.027,60,1055.402,9972.202,297.5142
6,63694.66,824232.8,1052.968,61,968.8505,8997.349,285.0520
7,59181.41,765044.2,1038.050,62,888.4614,8102.909,272.6403
8,54988.51,710049.3,1024.763,63,813.8323,7283.139,260.3137
9,51094.22,658949.9,1014.025,64,744.5491,6532.689,248.0648
10,47477.16,611468.7,1005.543,65,680.2574,5846.580,235.9173
11,44116.61,567348.5,998.1231,66,620.6575,5220.147,223.9263
12,40993.92,526351.3,991.2275,67,565.4773,4648.999,212.1534
13,38090.34,488256.9,982.8163,68,514.3846,4129.038,200.5777
14,35388.47,452862.7,970.9046,69,467.0693,3656.477,189.1770
15,32873.58,419981.4,954.9909,70,423.2311,3227.822,177.9166
16,30532.45,389439.4,935.0570,71,382.6106,2839.848,166.7822
17,28354.00,361074.4,912.3477,72,344.9970,2489.556,155.7908
18,26327.76,334734.9,887.9101,73,310.2025,2174.141,144.9678
19,24444.56,310278.5,863.3919,74,278.1064,1890.941,134.3949
20,22695.12,287572.0,839.6461,75,248.5815,1637.419,124.1377
21,21070.21,266490.8,816.9088,76,221.4921,1411.161,114.2439
22,19560.62,246919.5,794.7416,77,196.6768,1209.899,104.7245
23,18158.61,228750.7,773.5624,78,173.9748,1031.519,95.57941
24,16856.73,211884.3,753.5214,79,153.2164,874.0672,86.78727
25,15648.00,196227.2,734.7295,80,134.2430,735.7485,78.32612
26,14525.63,181693.1,716.9559,81,116.9311,614.9023,70.19854
27,13483.74,168201.4,700.4377,82,101.1907,509.9710,62.43287
28,12516.05,155677.7,684.5522,83,86.95539,419.4716,55.07555
29,11617.32,144053.0,669.2925,84,74.18155,341.9740,48.19152
30,10782.44,133263.4,654.4188,85,62.80210,276.1020,41.81835
31,10006.81,123249.6,639.8455,86,52.70233,220.5677,35.93918
32,9286.291,113956.4,625.6045,87,43.77403,174.1908,30.53553
33,8617.096,105332.7,611.8141,88,35.95354,135.8729,25.62720
34,7995.444,97330.71,598.3095,89,29.17427,104.5787,21.22629
35,7418.157,89906.28,585.2792,90,23.36243,79.34069,17.33254
36,6881.887,83018.24,572.5006,91,18.42603,59.27153,13.92139
37,6383.766,76628.45,560.0031,92,14.28349,43.56750,10.97236
38,5921.184,70701.43,547.8750,93,10.87405,31.49317,8.480574
39,5491.525,65204.19,536.0072,94,8.129583,22.37538,6.429054
40,5092.542,60106.09,524.4787,95,5.969420,15.61298,4.782834
41,4722.077,55378.63,513.3010,96,4.299050,10.68956,3.486644
42,4378.032,50995.34,502.3862,97,3.031842,7.175938,2.486471
43,4058.473,46931.70,491.6639,98,2.093822,4.720179,1.735088
44,3761.618,43164.99,481.0787,99,1.417092,3.038667,1.186153
45,3485.672,39674.19,470.4343,100,.9381728,1.911081,.7929307
46,3229.185,36439.86,459.7559,101,.6067842,1.171735,.5177323
47,2990.645,33443.98,448.9024,102,.3823997,.6985723,.3293083
48,2768.860,30669.85,437.9519,103,.2342825,.4037360,.2035985
49,2562.630,28101.89,426.8861,104,.1395861,.2250756,.1224803
50,2370.923,25725.61,415.7759,105,.07993732,.1202436,.07079881
51,2192.677,23527.55,404.5839,106,.04457471,.06081061,.03995311
52,2026.852,21495.22,393.2158,107,.02367218,.02826136,.02152431
53,1872.586,19617.08,381.6883,108,.01210009,.01121123,.01124804
54,1729.062,17882.39,370.0010,109,.005793104,.002691963,.005588515
Age,,o,_,Age,,o,_
x,Dx,Nx,Mx,x,Dx,Nx,Mx
0,100000.0,1255810,2046.798,55,1440.646,14444.61,313.9658
1,91896.10,1163480,1144.661,56,1326.076,13113.37,303.2334
2,85184.89,1078264,1080.287,57,1219.742,11888.44,292.4443
3,78982.92,999262.1,1040.476,58,1121.007,10762.19,281.5562
4,73240.62,926007.8,1012.009,59,1029.294,9727.597,270.5412
5,67920.59,858076.9,990.5981,60,944.1225,8778.127,259.4286
6,62988.91,795079.4,972.7222,61,865.0892,7907.678,248.2904
7,58417.09,736655.2,957.9823,62,791.8378,7110.511,237.2179
8,54177.64,682471.2,944.8786,63,723.9792,6381.250,226.2417
9,50247.37,632218.8,934.3086,64,661.1166,5714.894,215.3548
10,46603.64,585611.1,925.9741,65,602.9086,5106.800,204.5782
11,43224.58,542383.0,918.6975,66,549.0649,4552.625,193.9602
12,40090.51,502289.3,911.9474,67,499.3217,4048.296,183.5546
13,37181.80,465103.5,903.7290,68,453.3636,3590.018,173.3422
14,34480.29,430617.7,892.1117,69,410.8975,3174.289,163.3030
15,31970.52,398639.7,876.6203,70,371.6407,2797.886,153.4057
16,29638.61,368991.8,857.2513,71,335.3484,2457.836,143.6372
17,27472.87,341508.3,835.2266,72,301.8201,2151.384,134.0121
18,25462.27,316034.6,811.5695,73,270.8766,1875.955,124.5521
19,23597.12,292426.1,787.8786,74,242.3990,1629.117,115.3278
20,21867.67,270547.4,764.9764,75,216.2629,1408.556,106.3956
21,20264.35,250272.5,743.0877,76,192.3380,1212.079,97.79581
22,18777.59,231484.7,721.7873,77,170.4722,1037.633,89.53682
23,17399.37,214075.5,701.4742,78,150.5152,883.3063,81.61726
24,16121.95,197944.4,682.2882,79,132.3100,747.3391,74.01750
25,14938.14,182997.6,664.3316,80,115.7104,628.1156,66.71740
26,13840.96,169148.5,647.3794,81,100.6015,524.1459,59.71812
27,12824.34,156316.6,631.6538,82,86.89771,434.0358,53.04291
28,11881.90,144427.4,616.5587,83,74.53459,356.4635,46.73044
29,11008.24,133412.2,602.0851,84,63.46741,290.1590,40.83501
30,10198.17,123207.2,588.0038,85,53.63182,233.9055,35.38719
31,9447.014,113753.6,574.2326,86,44.92331,186.5682,30.37098
32,8750.535,104996.6,560.8002,87,37.24363,147.1100,25.76904
33,8104.884,96885.47,547.8170,88,30.53308,114.5691,21.59669
34,7506.231,89373.14,535.1266,89,24.72990,88.04221,17.86261
35,6951.345,82415.91,522.9044,90,19.76669,66.68859,14.56498
36,6436.858,75973.29,510.9406,91,15.56113,49.73980,11.68143
37,5959.870,70007.80,499.2618,92,12.04030,36.50206,9.193140
38,5517.749,64484.61,487.9492,93,9.149302,26.34285,7.094560
39,5107.871,59371.42,476.8998,94,6.827445,18.68548,5.369978
40,4727.973,54638.29,466.1864,95,5.003981,13.01677,3.988673
41,4375.896,50257.41,455.8181,96,3.597075,8.897277,2.903088
42,4049.546,46203.00,445.7125,97,2.532078,5.962836,2.066977
43,3747.000,42451.23,435.8036,98,1.745435,3.915685,1.440012
44,3466.483,38980.05,426.0395,99,1.179113,2.516557,.9828217
45,3206.229,35769.10,416.2390,100,.7791730,1.580072,.6559274
46,2964.793,32799.59,406.4255,101,.5030125,.9671683,.4275734
47,2740.690,30054.11,396.4696,102,.3164140,.5756531,.2715130
48,2532.734,27516.55,386.4432,103,.1934957,.3321455,.1675884
49,2339.741,25171.94,376.3301,104,.1150714,.1848623,.1006521
50,2160.692,23006.37,366.1953,105,.06577611,.09860163,.05808518
51,1994.545,21006.92,356.0048,106,.03661008,.04978819,.03272660
52,1840.283,19161.67,345.6732,107,.01940635,.02310446,.01760420
53,1697.063,17459.57,335.2162,108,.009901199,.009152770,.009187282
54,1564.085,15890.39,324.6339,109,.004731556,.002194599,.004560377
Age,,o,_,Age,,o,_
x,Dx,Nx,Mx,x,Dx,Nx,Mx
0,100000.0,1225340,1972.781,55,1301.016,12820.61,275.3665
1,91725.93,1133181,1071.448,56,1195.333,11620.62,265.6829
2,84869.68,1048280,1007.250,57,1097.447,10518.51,255.9662
3,78544.94,969716.4,967.6224,58,1006.743,9507.058,246.1786
4,72699.60,897003.2,939.3384,59,922.6663,8579.640,236.2951
5,67294.02,829699.0,918.1042,60,844.7509,7730.104,226.3426
6,62292.27,767398.2,900.4090,61,772.6027,6952.714,216.3856
7,57664.02,709727.2,885.8451,62,705.8730,6242.091,206.5056
8,53380.19,656340.8,872.9219,63,644.1862,5593.205,196.7298
9,49416.09,606919.7,862.5167,64,587.1626,5001.390,187.0514
10,45747.77,561168.0,854.3275,65,534.4743,4462.318,177.4888
11,42352.18,518812.4,847.1908,66,485.8409,3971.956,168.0844
12,39208.63,479600.6,840.5829,67,441.0073,3526.526,158.8852
13,36296.57,443300.2,832.5523,68,399.6750,3122.518,149.8736
14,33597.04,409697.7,821.2218,69,361.5671,2756.700,141.0311
15,31093.87,378596.6,806.1406,70,326.4177,2426.099,132.3298
16,28772.52,349815.0,787.3195,71,293.9962,2127.982,123.7576
17,26620.68,323184.0,765.9575,72,264.1122,1859.816,115.3269
18,24626.76,298546.3,743.0547,73,236.5957,1619.244,107.0562
19,22780.54,275754.7,720.1615,74,211.3300,1404.044,99.00650
20,21071.85,254672.3,698.0717,75,188.1947,1212.109,91.22604
21,19490.71,235171.4,676.9983,76,167.0650,1041.449,83.74909
22,18027.27,217134.3,656.5294,77,147.7981,890.2050,76.58171
23,16673.19,200451.7,637.0453,78,130.2539,756.6530,69.72164
24,15420.47,185022.4,618.6765,79,114.2873,639.2066,63.15076
25,14261.71,170752.5,601.5164,80,99.76378,536.4139,56.85067
26,13189.74,157555.0,585.3463,81,86.57647,446.9388,50.82137
27,12198.33,145349.4,570.3740,82,74.64466,369.5347,45.08188
28,11280.96,134061.6,556.0285,83,63.90625,303.0239,39.66434
29,10432.13,123622.9,542.2992,84,54.31643,246.2795,34.61407
30,9646.558,113969.9,528.9667,85,45.81398,198.2260,29.95590
31,8919.484,105044.1,515.9519,86,38.30383,157.8639,25.67472
32,8246.598,96791.46,503.2810,87,31.69695,124.2822,21.75437
33,7623.984,89161.60,491.0564,88,25.93768,96.63881,18.20657
34,7047.776,82108.09,479.1295,89,20.96901,74.14612,15.03732
35,6514.694,75587.88,467.6641,90,16.72956,56.07347,12.24368
36,6021.353,69561.14,456.4618,91,13.14579,41.75541,9.805358
37,5564.831,63991.06,445.5466,92,10.15261,30.59309,7.705166
38,5142.474,58843.51,434.9932,93,7.700581,22.04251,5.937180
39,4751.657,54086.91,424.7045,94,5.735731,15.60956,4.486966
40,4390.108,49692.01,414.7471,95,4.196055,10.85610,3.327567
41,4055.666,45631.72,405.1283,96,3.010718,7.408127,2.418068
42,3746.249,41880.98,395.7706,97,2.115401,4.956576,1.718874
43,3459.942,38416.63,386.6120,98,1.455507,3.249470,1.195549
44,3194.989,35217.31,377.6040,99,.9814338,2.084908,.8146412
45,2949.645,32263.33,368.5791,100,.6473430,1.306869,.5427935
46,2722.480,29536.51,359.5590,101,.4171328,.7986064,.3532443
47,2512.032,27020.09,350.4249,102,.2619065,.4745362,.2239436
48,2317.127,24698.55,341.2432,103,.1598663,.2733500,.1379983
49,2136.599,22557.50,331.9993,104,.09489597,.1518899,.08274478
50,1969.442,20583.61,322.7527,105,.05414318,.08088495,.04767238
51,1814.634,18764.52,313.4725,106,.03007954,.04077889,.02681723
52,1671.187,17088.82,304.0812,107,.01591510,.01889563,.01440345
53,1538.272,15545.98,294.5934,108,.008104913,.007475070,.007506907
54,1415.111,14126.27,285.0098,109,.003865980,.001789805,.003722795
Age,,o,_,Age,,o,_
x,Dx,Nx,Mx,x,Dx,Nx,Mx
0,100000.0,1196271,1905.801,55,1175.140,11383.90,241.6605
1,91556.38,1104282,1005.268,56,1077.687,10302.02,232.9216
2,84556.22,1019695,941.2463,57,987.6058,9310.206,224.1690
3,78110.19,941565.7,901.7997,58,904.3060,8401.673,215.3688
4,72163.57,869388.6,873.6973,59,827.2520,7570.161,206.4989
5,66674.38,802704.2,852.6384,60,755.9940,6809.885,197.5835
6,61604.60,741091.1,835.1217,61,690.1483,6115.460,188.6805
7,56922.03,684162.2,820.7314,62,629.3746,5481.850,179.8629
8,52595.92,631560.2,807.9858,63,573.3114,4904.356,171.1542
9,48600.07,582955.2,797.7426,64,521.5957,4378.627,162.5483
10,44909.15,538042.2,789.6957,65,473.9134,3900.637,154.0611
11,41498.96,496539.8,782.6961,66,429.9943,3466.641,145.7297
12,38347.72,458189.0,776.2270,67,389.5928,3073.141,137.5952
13,35433.98,422751.2,768.3798,68,352.4266,2716.894,129.6413
14,32737.98,390008.0,757.3284,69,318.2343,2394.918,121.8510
15,30242.81,359758.1,742.6459,70,286.7664,2104.477,114.1994
16,27933.27,331816.0,724.3562,71,257.8059,1843.057,106.6752
17,25796.43,306009.7,703.6357,72,231.1725,1608.337,99.28887
18,23820.13,282178.9,681.4617,73,206.7050,1398.158,92.05610
19,21993.66,260174.6,659.3381,74,184.2900,1210.493,85.02960
20,20306.38,239858.0,638.0302,75,163.8116,1043.425,78.25069
21,18747.96,221100.3,617.7404,76,145.1507,895.1514,71.74827
22,17308.24,203782.6,598.0690,77,128.1737,763.9894,65.52659
